Transaction_ID,Order Date,Delivery Date,Product ID,Product Name,Category,Warehouse,Region,Supplier ID,Supplier Name,Forecast Qty,Actual Demand Qty,Inventory On Hand,Reorder Point,Unit Cost,Lead Time Days,TransportationMode,SalesAmount,CustomerSegment,ForecastVersion
T00001,16/10/2025,2025-10-26,P1002,Phone,Electronics,Berlin Warehouse,North America,S01,Supplier A,610,559,665,290,906.01,9,Road,612417.54,Retail,V3
T00002,2025-03-08,2025-03-17,P1001,Laptop,Electronics,Munich WH,north america,S01,Supplier A,577,533,952,197,50.47,8,Air,47854.31,Retail,V3
T00003,2025-10-27,19/11/2025,P1012,Camera,Electronics,BERLIN WH,North America,S07,Supplier G,-386,443,835,262,291.44,16,Air,169514.77,Wholesale,V2
T00004,2024-10-11,2024-10-15,P1003,Tablet,Electronics,Hamburg WH,North America,S04,Supplier D,170,186,937,322,925.54,5,Sea,206175.23,Wholesale,V3
T00005,2024-09-27,15/10/2024,P1013,Sofa,Furniture,Hamburg WH,North America,S01,Supplier A,580,591,-20,385,1182.06,19,Road,866101.32,Wholesale,V3
T00006,2025-09-25,2025-10-02,P1015,Lamp,Home,Berlin WH,N. America,S06,Supplier F,824,1007,,445,919.17,8,Sea,1128651.1,Retail,V1
T00007,2024-04-13,2024-05-08,P1007,Chair,Furniture,Berlin Warehouse,NA,S05,Supplier E,458,427,627,382,671.43,22,Sea,339862.58,Retail,V3
T00008,2024-09-30,2024-10-22,P1012,Camera,electronics,Munich WH,N. America,S02,Supplier B,738,635,698,461,402.99,22,Air,400165.51,Wholesale,V2
T00009,2024-10-03,13/10/2024,P1015,Lamp,Home,Berlin Warehouse,North America,S04,Supplier D,534,525,210,500,293.58,12,Sea,274151.57,Wholesale,V2
T00010,2024-08-03,2024-04-04,P1004,Headphones,Electronics,Hamburg WH,Europe,S06,Supplier F,614,526,920,258,150.97,22,Air,98245.37,Wholesale,V1
T00011,2024-09-09,2024-10-01,P1012,Camera,Electronics,Hamburg WH,NA,S05,,,686,624,449,421.6,15,Air,485919.19,Retail,V3
T00012,2025-05-20,2025-06-03,P1002,Phone,Electronics,Berlin Warehouse,Europe,S01,Supplier A,343,338,479,206,228.57,6,Road,128364.87,Retail,V2
T00013,2025-01-25,2025-02-10,P1010,Mouse,Electronics,Berlin WH,North America,S08,Supplier H,335,418,852,420,1226.88,10,Road,817870.67,Wholesale,V3
T00014,2024-12-14,2024-12-26,P1002,Phone,Electronics,Berlin WH,NA,S05,Supplier E,835,1007,888,372,550.53,7,Road,654787.22,Retail,V3
T00015,18/04/2024,2024-05-13,P1014,Shelf,Furniture,Berlin Warehouse,N. America,S05,Supplier E,502,539,943,477,114.07,18,Sea,81016.35,Retail,V3
T00016,27/06/2025,2025-07-14,P1015,Lamp,Home,Berlin WH,North America,S01,Supplier A,676,641,475,456,1333.07,12,Sea,1222402.31,Wholesale,V1
